surah,ayat,terjemahan_lemmatized
1,1,sebut nama allah murah sayang
1,2,puji allah tuhan semesta alam
1,3,murah sayang
1,4,kuasa balas
1,5,engkau sembah engkau tolong
1,6,tunjuk jalan lurus
1,7,jalan engkau nikmat jalan murka jalan sesat
2,1,alif laam miim
2,2,kitab al quran ragu tunjuk takwa
2,3,iman ghaib diri shalat nafkah rezeki anugerah
2,4,iman kitab al quran turun kepada kitab kitab turun belum hidup akhirat
2,5,tunjuk tuhan untung
2,6,kafir ingat ingat iman
2,7,allah kunci mati hati dengar lihat tutup siksa berat
2,8,manusia iman allah iman
2,9,tipu allah iman tipu sadar
2,10,hati sakit tambah allah sakit siksa pedih sebab dusta
2,11,rusa bumi ada baik
2,12,ingat rusa sadar
2,13,rim iman rim bodoh iman ingat bodoh
2,14,jumpa iman iman syaitan syaitan diri olok olok
2,15,allah balas olok olok biar terombang ambing sesat
2,16,beli sesat tunjuk untung niaga tunjuk
2,17,umpama nyala api api rang keliling allah hilang cahaya sari biar gelap
2,18,tuli bisu buta jalan
2,19,timpa hujan lebat langit serta gelap gulita guruh kilat sumbat telinga anak jari dengar suara petir takut mati allah liput kafir
2,20,kilat sambar lihat kali kilat sari jalan sinar gelap timpa henti allah lenyap dengar lihat allah kuasa
2,21,manusia sembah tuhan cipta belum takwa
2,22,jadi bumi hampar bagi langit atap turun air hujan langit hasil hujan buah buah rezeki untuk ada sekutu sekutu allah
2,23,ragu al quran wahyu muhammad buat surat al quran ajak tolong tolong allah
2,24,buat buat pelihara diri neraka bahan bakar manusia batu sedia kafir
2,25,sampai berita gembira iman buat sedia surga surga alir sungai sungai dalam rezeki buah buah surga surga buah buah dalam isteri isteri suci kekal dalam
2,26,allah tiada segan umpama nyamuk rendah iman umpama tuhan kafir maksud allah jadi umpama umpama sesat allah umpama nya tunjuk sesat allah kecuali fasik
2,27,langgar janji allah janji teguh putus perintah allah hubung rusa bumi rugi
2,28,kafir allah mati allah hidup mati hidup nya nya kembali
2,29,allah jadi bumi cipta langit jadi nya tujuh langit
2,30,ingat tuhan firman malaikat jadi khalifah bumi engkau jadi khalifah bumi rusa tumpah darah senantiasa tasbih puji engkau suci engkau tuhan firman tahu
2,31,ajar adam nama nama benda benda muka malaikat firman sebut ku nama benda benda mamang
2,32,suci engkau tahu engkau ajar engkau bijaksana
2,33,allah firman adam beritahukanlah nama nama benda diberitahukannya nama nama benda allah firman ku kepada rahasia langit bumi lahir sembunyi
2,34,ingat firman malaikat sujud adam sujud kecuali iblis enggan takabur golong kafir
2,35,firman adam diam isterimu surga makan makan makan mana suka dekat pohon sebab zalim
2,36,gelincir syaitan surga keluar firman turun musuh diam bumi senang hidup tentu
2,37,adam terima kalimat tuhan allah terima taubat allah terima taubat sayang
2,38,firman turun surga tunjuk ku kepada ikut tunjuk ku khawatir sedih hati
2,39,kafir dusta ayat ayat huni neraka kekal dalam
2,40,bani israil ingat nikmat ku anugerah kepada penuh janji ku penuh janji ku kepada ku takut tunduk
